action_id,source_row,capability_id,module,capability,original_action,original_explanation,original_output,original_acceptance,historical_design_status,historical_dependency,historical_owner,historical_date,historical_execution_status,historical_evidence,requirements,tasks,current_scope,disposition,current_acceptance
M5.6-A06,122,M5.6,Pilot运行与采用,周度运行节奏,下周期验证结果,完成“下周期验证结果”，使“周度运行节奏”能够按统一规则执行、检查并留下可验证结果。,可重复周度运行机制,真实项目持续更新，周会使用AutoPM，行动下周期验证,TARGET,TBD,TBD,TBD,未开始,,REQ-019 ; REQ-028,AT-11 ; MS-10 ; GOV-03,P0,治理／试用／度量／Gate工作；不机械转成新增表或代码功能。,Not Submitted
M5.7-A01,123,M5.7,Pilot运行与采用,用户支持与问题处理,建立反馈入口,完成“建立反馈入口”，使“用户支持与问题处理”能够按统一规则执行、检查并留下可验证结果。,问题改进清单及支持修复节奏,关键问题有分类、影响、责任和状态，修复经用户验证,TARGET,TBD,TBD,TBD,未开始,,REQ-027 ; REQ-028,AT-10 ; MS-10 ; GOV-03,P0,治理／试用／度量／Gate工作；不机械转成新增表或代码功能。,Not Submitted
M5.7-A02,124,M5.7,Pilot运行与采用,用户支持与问题处理,分类问题,完成“分类问题”，使“用户支持与问题处理”能够按统一规则执行、检查并留下可验证结果。,问题改进清单及支持修复节奏,关键问题有分类、影响、责任和状态，修复经用户验证,TARGET,TBD,TBD,TBD,未开始,,REQ-027 ; REQ-028,AT-10 ; MS-10 ; GOV-03,P0,治理／试用／度量／Gate工作；不机械转成新增表或代码功能。,Not Submitted
M5.7-A03,125,M5.7,Pilot运行与采用,用户支持与问题处理,评估影响优先级,完成“评估影响优先级”，使“用户支持与问题处理”能够按统一规则执行、检查并留下可验证结果。,问题改进清单及支持修复节奏,关键问题有分类、影响、责任和状态，修复经用户验证,TARGET,TBD,TBD,TBD,未开始,,REQ-027 ; REQ-028,AT-10 ; MS-10 ; GOV-03,P0,治理／试用／度量／Gate工作；不机械转成新增表或代码功能。,Not Submitted
M5.7-A04,126,M5.7,Pilot运行与采用,用户支持与问题处理,分配Owner,完成“分配Owner”，使“用户支持与问题处理”能够按统一规则执行、检查并留下可验证结果。,问题改进清单及支持修复节奏,关键问题有分类、影响、责任和状态，修复经用户验证,TARGET,TBD,TBD,TBD,未开始,,REQ-027 ; REQ-028,AT-10 ; MS-10 ; GOV-03,P0,治理／试用／度量／Gate工作；不机械转成新增表或代码功能。,Not Submitted
M5.7-A05,127,M5.7,Pilot运行与采用,用户支持与问题处理,验证修复,完成“验证修复”，使“用户支持与问题处理”能够按统一规则执行、检查并留下可验证结果。,问题改进清单及支持修复节奏,关键问题有分类、影响、责任和状态，修复经用户验证,TARGET,TBD,TBD,TBD,未开始,,REQ-027 ; REQ-028,AT-10 ; MS-10 ; GOV-03,P0,治理／试用／度量／Gate工作；不机械转成新增表或代码功能。,Not Submitted
M5.7-A06,128,M5.7,Pilot运行与采用,用户支持与问题处理,转化重复反馈,完成“转化重复反馈”，使“用户支持与问题处理”能够按统一规则执行、检查并留下可验证结果。,问题改进清单及支持修复节奏,关键问题有分类、影响、责任和状态，修复经用户验证,TARGET,TBD,TBD,TBD,未开始,,REQ-027 ; REQ-028,AT-10 ; MS-10 ; GOV-03,P0,治理／试用／度量／Gate工作；不机械转成新增表或代码功能。,Not Submitted
M6.1-A01,129,M6.1,价值证据与Gate决策,基线定义,定义人工追踪、周报汇总、数据质量、Task/Issue/Action/Delay基线,完成“定义人工追踪、周报汇总、数据质量、Task/Issue/Action/Delay基线”，使“基线定义”能够按统一规则执行、检查并留下可验证结果。,指标定义及Pilot前基线,定义和证据清楚，无基线不宣称改善,TARGET,TBD,TBD,TBD,未开始,,REQ-028 ; REQ-029,GOV-03,P0,治理／试用／度量／Gate工作；不机械转成新增表或代码功能。,Not Submitted
M6.1-A02,130,M6.1,价值证据与Gate决策,基线定义,定义算法来源Owner周期并在Pilot前记录,完成“定义算法来源Owner周期并在Pilot前记录”，使“基线定义”能够按统一规则执行、检查并留下可验证结果。,指标定义及Pilot前基线,定义和证据清楚，无基线不宣称改善,TARGET,TBD,TBD,TBD,未开始,,REQ-028 ; REQ-029,GOV-03,P0,治理／试用／度量／Gate工作；不机械转成新增表或代码功能。,Not Submitted
M6.2-A01,131,M6.2,价值证据与Gate决策,使用与采用证据,记录活跃项目用户、频率及时性、周度审查、关键动作、中断退出和双系统维护,完成“记录活跃项目用户、频率及时性、周度审查、关键动作、中断退出和双系统维护”，使“使用与采用证据”能够按统一规则执行、检查并留下可验证结果。,Pilot使用证据包,区分登录、一次录入和持续使用，负担和中断如实记录,TARGET,TBD,TBD,TBD,未开始,,REQ-028,GOV-03,P0,治理／试用／度量／Gate工作；不机械转成新增表或代码功能。,Not Submitted
M6.3-A01,132,M6.3,价值证据与Gate决策,数据质量证据,记录字段、关系、Owner、Due、状态完整性，以及重复、冲突、同步失败、修正和关闭,完成“记录字段、关系、Owner、Due、状态完整性，以及重复、冲突、同步失败、修正和关闭”，使“数据质量证据”能够按统一规则执行、检查并留下可验证结果。,数据质量证据包,指标可重复计算，问题可追溯，管理可用性有结论,TARGET,TBD,TBD,TBD,进行中,,REQ-004 ; REQ-028,GOV-03,P0,治理／试用／度量／Gate工作；不机械转成新增表或代码功能。,Not Submitted
M6.4-A01,133,M6.4,价值证据与Gate决策,执行闭环证据,记录Task按期逾期、异常Action覆盖、责任日期关闭、Delay影响恢复、Issue验证关闭和Decision转Action,完成“记录Task按期逾期、异常Action覆盖、责任日期关闭、Delay影响恢复、Issue验证关闭和Decision转Action”，使“执行闭环证据”能够按统一规则执行、检查并留下可验证结果。,执行闭环证据包,能识别闭环中断，区分Action完成和Issue关闭,TARGET,TBD,TBD,TBD,未开始,,REQ-015 ; REQ-028,GOV-03,P0,治理／试用／度量／Gate工作；不机械转成新增表或代码功能。 原文Decision/Review在P0以Issue待决责任、周报及现有行动记录承载；新的独立管理平台仍在P1，不扩展本动作范围。,Not Submitted
M6.5-A01,134,M6.5,价值证据与Gate决策,效率与业务结果,比较查找、周报、追问、重复维护、问题发现升级关闭,完成“比较查找、周报、追问、重复维护、问题发现升级关闭”，使“效率与业务结果”能够按统一规则执行、检查并留下可验证结果。,Pilot前后比较及价值结论,基于基线，同时呈现改善、未改善、负面影响和数据不足,TARGET,TBD,TBD,TBD,未开始,,REQ-028 ; REQ-029,GOV-03,P0,治理／试用／度量／Gate工作；不机械转成新增表或代码功能。,Not Submitted
M6.5-A02,135,M6.5,价值证据与Gate决策,效率与业务结果,记录决定结果、新增工作和负面影响,完成“记录决定结果、新增工作和负面影响”，使“效率与业务结果”能够按统一规则执行、检查并留下可验证结果。,Pilot前后比较及价值结论,基于基线，同时呈现改善、未改善、负面影响和数据不足,TARGET,TBD,TBD,TBD,未开始,,REQ-028 ; REQ-029,GOV-03,P0,治理／试用／度量／Gate工作；不机械转成新增表或代码功能。,Not Submitted
M6.5-A03,136,M6.5,价值证据与Gate决策,效率与业务结果,形成结论,完成“形成结论”，使“效率与业务结果”能够按统一规则执行、检查并留下可验证结果。,Pilot前后比较及价值结论,基于基线，同时呈现改善、未改善、负面影响和数据不足,TARGET,TBD,TBD,TBD,未开始,,REQ-028 ; REQ-029,GOV-03,P0,治理／试用／度量／Gate工作；不机械转成新增表或代码功能。,Not Submitted
M6.6-A01,137,M6.6,价值证据与Gate决策,平台能力评估,评估性能容量、中国访问、权限审计、自动化集成、导出迁移回退、支持许可成本及技术路线,完成“评估性能容量、中国访问、权限审计、自动化集成、导出迁移回退、支持许可成本及技术路线”，使“平台能力评估”能够按统一规则执行、检查并留下可验证结果。,平台评估及Phase 2技术路线建议,基于真实使用，事实限制建议分开，不预设最终平台,TARGET,TBD,TBD,TBD,未开始,,REQ-029,GOV-04,P0,治理／试用／度量／Gate工作；不机械转成新增表或代码功能。,Not Submitted
M6.7-A01,138,M6.7,价值证据与Gate决策,Gate 1决策,汇总证据,完成“汇总证据”，使“Gate 1决策”能够按统一规则执行、检查并留下可验证结果。,Gate 1评审包、决策记录及Phase 2条件,决策由证据支持，未确认不转承诺，通过后才进入Phase 2,TARGET,TBD,TBD,TBD,未开始,,REQ-026 ; REQ-028 ; REQ-029,GOV-04,P0,治理／试用／度量／Gate工作；不机械转成新增表或代码功能。,Not Submitted
M6.7-A02,139,M6.7,价值证据与Gate决策,Gate 1决策,评估成功条件,完成“评估成功条件”，使“Gate 1决策”能够按统一规则执行、检查并留下可验证结果。,Gate 1评审包、决策记录及Phase 2条件,决策由证据支持，未确认不转承诺，通过后才进入Phase 2,TARGET,TBD,TBD,TBD,未开始,,REQ-026 ; REQ-028 ; REQ-029,GOV-04,P0,治理／试用／度量／Gate工作；不机械转成新增表或代码功能。,Not Submitted
M6.7-A03,140,M6.7,价值证据与Gate决策,Gate 1决策,识别缺口风险,完成“识别缺口风险”，使“Gate 1决策”能够按统一规则执行、检查并留下可验证结果。,Gate 1评审包、决策记录及Phase 2条件,决策由证据支持，未确认不转承诺，通过后才进入Phase 2,TARGET,TBD,TBD,TBD,未开始,,REQ-026 ; REQ-028 ; REQ-029,GOV-04,P0,治理／试用／度量／Gate工作；不机械转成新增表或代码功能。,Not Submitted
M6.7-A04,141,M6.7,价值证据与Gate决策,Gate 1决策,提出继续调整延长迁移停止建议,完成“提出继续调整延长迁移停止建议”，使“Gate 1决策”能够按统一规则执行、检查并留下可验证结果。,Gate 1评审包、决策记录及Phase 2条件,决策由证据支持，未确认不转承诺，通过后才进入Phase 2,TARGET,TBD,TBD,TBD,未开始,,REQ-026 ; REQ-028 ; REQ-029,GOV-04,P0,治理／试用／度量／Gate工作；不机械转成新增表或代码功能。,Not Submitted
M6.7-A05,142,M6.7,价值证据与Gate决策,Gate 1决策,明确Phase 2条件和正式决定,完成“明确Phase 2条件和正式决定”，使“Gate 1决策”能够按统一规则执行、检查并留下可验证结果。,Gate 1评审包、决策记录及Phase 2条件,决策由证据支持，未确认不转承诺，通过后才进入Phase 2,TARGET,TBD,TBD,TBD,未开始,,REQ-026 ; REQ-028 ; REQ-029,GOV-04,P0,治理／试用／度量／Gate工作；不机械转成新增表或代码功能。,Not Submitted
